,id,name,owner,address,city,postal_code,region,country,country_code,cadastral_id,power_installed,square_ft_meters_global,square_ft_meters_it,date_of_building_manufacturing,date_of_land_buying_act,main_source,secondary_source,last_update,comment_main_source,comment_secondary_source
0,COGENT_-_NANTES,COGENT - NANTES,,Boulevard Victor Hugo,Nantes,44007 Nantes,Pays de la Loire,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:44.577677+02:00,scraped from website with selenium,
0,COGENT_-_NICE,COGENT - NICE,,Avenue Thiers,Nice,06000 Nice,Provence-Alpes-Côte d'Azur,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:44.907814+02:00,scraped from website with selenium,
0,COGENT_-_PARIS_1,COGENT - PARIS 1,,77 Bd de la République,,92257 La Garenne-Colombes,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:45.243691+02:00,scraped from website with selenium,
0,COGENT_-_PARIS_2,COGENT - PARIS 2,,16 Rue Grange Dame Rose,,78140 Vélizy-Villacoublay,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:45.593194+02:00,scraped from website with selenium,
0,COGENT_-_POITIERS,COGENT - POITIERS,,18-22 Bd Jeanne d'Arc,,86000 Poitiers,Nouvelle-Aquitaine,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:45.950736+02:00,scraped from website with selenium,
0,COGENT_-_RENNES,COGENT - RENNES,,"Parc Lorans, Av. Chardonnet",Rennes,35000 Rennes,Bretagne,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:46.422734+02:00,scraped from website with selenium,
0,COGENT_-_ROUEN,COGENT - ROUEN,,20 Rue Alexandre Barrabé,Rouen,76100 Rouen,Normandie,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:46.764415+02:00,scraped from website with selenium,
0,COGENT_-_SOPHIA-ANTIPOLIS,COGENT - SOPHIA-ANTIPOLIS,,Pôle Entreprise Euro 95 165 rue Cistes,,06600 Antibes,Provence-Alpes-Côte d'Azur,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:47.103952+02:00,scraped from website with selenium,
0,COGENT_-_STRASBOURG,COGENT - STRASBOURG,,46 Rte de Bischwiller,,67300 Schiltigheim,Grand Est,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:47.472641+02:00,scraped from website with selenium,
0,COGENT_-_TOULOUSE,COGENT - TOULOUSE,,125 Chem. du Sang de Serp,Toulouse,31200 Toulouse,Occitanie,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:47.818250+02:00,scraped from website with selenium,
0,COGENT_-_TOURS,COGENT - TOURS,,171 Rue des Douets,Tours,37100 Tours,Centre-Val de Loire,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:48.118085+02:00,scraped from website with selenium,
0,COLO_BÂLE,COLO BÂLE,,Güterstrasse 72,,4133 Pratteln,Bâle-Campagne,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:48.452392+02:00,scraped from website with selenium,
0,COLOROOT,COLOROOT,,Platz 4,Root,6039 Root D4,Lucerne,Switzerland,CH,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:48.786836+02:00,scraped from website with selenium,
0,COLT,COLT,,15 Av. du Cap Horn,,91940 Les Ulis,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:49.252448+02:00,scraped from website with selenium,
0,COM6,COM6,,15 Chem. des Hirondelles,Dardilly,69570 Dardilly,Auvergne-Rhône-Alpes,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:49.577848+02:00,scraped from website with selenium,
0,COMARCH,COMARCH,,17 Rue Paul Langevin ZI du Hellu,Lezennes,59260 Lezennes,Hauts-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:50.551850+02:00,scraped from website with selenium,
0,CYLLENE_-_COURBEVOIE,CYLLENE - COURBEVOIE,,Courbevoie,,92400,Île-de-France,France,FR,,,,,,,carte.dcmag.fr,,2024-09-06T15:40:51.072433+02:00,scraped from website with selenium,
